CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LON,LAT,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
25025180,CO,San Benito Abad,San Benito Abad,Sucre,20,-75.04,8.94,8.22,7.65,6.23,5.67,5.23,6.28,7.04,6.77,5.72,5.76,6.01,7.19,6.48
21255080,CP,Salto El,Ambalema,Tolima,450,-74.77,4.78,6.26,5.68,4.84,4.90,5.44,5.67,6.37,6.29,5.77,5.41,5.60,5.92,5.68
21255090,CP,Armero Gja,Armero,Tolima,300,-74.91,5.00,6.76,6.10,5.19,5.26,5.68,6.53,6.98,6.90,6.37,5.96,6.08,6.18,6.17
22055020,CO,Mesa de Pole,Ataco,Tolima,500,-75.54,3.46,4.64,4.32,3.96,3.80,4.10,4.59,4.50,4.51,4.30,3.91,4.08,4.42,4.26
21215100,CO,Cajamarca,Cajamarca,Tolima,1920,-75.42,4.44,5.16,4.94,4.39,3.83,3.95,4.10,4.40,4.31,4.31,4.19,4.28,4.82,4.39
22045010,CO,Demostracion Gja,Chaparral,Tolima,1040,-75.50,3.72,5.94,5.60,4.82,4.93,5.50,5.67,5.80,5.80,5.57,5.22,4.95,5.80,5.47
21155040,CO,Dolores Hda Madron,Dolores,Tolima,1456,-74.91,3.53,6.18,5.48,4.55,4.56,5.13,5.81,6.00,6.09,5.20,4.75,4.69,5.52,5.33
21185020,AM,Nataima,Espinal,Tolima,431,-74.96,4.19,6.22,5.70,5.18,5.07,5.51,5.77,6.31,6.51,6.01,5.67,5.57,5.82,5.78
21185040,CO,Apto Santiago Vila,Flandes,Tolima,286,-74.80,4.28,6.69,6.08,5.36,5.42,5.74,5.99,6.39,6.40,6.18,6.15,6.12,6.44,6.08
21185030,CP,Guamo,Guamo,Tolima,360,-74.98,4.01,6.35,5.69,4.61,4.74,5.08,5.42,5.87,5.94,5.39,5.48,5.50,5.61,5.47
23025020,CO,Esperanza La,Honda,Tolima,222,-74.73,5.26,6.52,5.88,4.85,4.94,5.67,6.03,6.72,6.57,6.00,5.59,5.78,6.13,5.89
21245040,SS,Apto Perales,Ibague,Tolima,928,-75.15,4.43,5.77,5.13,4.47,4.56,5.01,5.64,6.22,6.30,5.97,5.13,4.69,5.28,5.35
21215140,ME,Cementos Diamante,Ibague,Tolima,780,-75.08,4.33,6.55,5.70,5.03,5.01,5.58,5.76,6.47,6.32,5.72,5.43,5.76,6.06,5.78
21245010,CO,Perales Hato Opia,Ibague,Tolima,750,-75.09,4.42,5.90,5.19,4.59,4.45,5.15,5.69,6.28,6.35,5.83,5.11,4.83,5.48,5.40
21255150,CP,Garcia Hda,Lerida,Tolima,350,-74.89,4.86,6.79,6.35,5.45,5.55,5.93,6.57,7.17,7.06,6.69,6.17,6.37,6.50,6.39
21255140,CP,Quinta La,Lerida,Tolima,500,-74.92,4.82,6.69,6.16,5.20,5.45,5.53,6.29,6.89,7.08,6.60,6.11,6.10,6.45,6.21
21135030,CP,Anchique,Natagaima,Tolima,415,-75.11,3.57,7.39,6.63,5.77,5.77,6.32,6.43,6.81,6.81,6.48,6.28,6.35,6.75,6.48
22025010,CP,Apto Planadas,Planadas,Tolima,1355,-75.67,3.17,4.66,4.23,3.87,3.61,3.98,4.08,3.94,4.33,4.04,3.12,3.95,4.97,4.06
21165010,CO,Pst de Monta,Prado,Tolima,349,-74.92,3.79,6.54,5.83,4.82,4.62,4.80,5.43,5.79,5.93,5.44,5.75,5.69,6.00,5.55
21165030,CO,Lozania,Purificacion,Tolima,400,-74.77,3.90,6.23,5.51,4.48,3.96,4.51,4.92,5.37,5.24,4.81,4.88,5.30,5.93,5.09
22055030,CO,Sta Helena,Purificacion,Tolima,300,-74.90,3.99,4.09,3.77,3.31,3.26,3.95,5.61,5.90,6.18,5.29,3.59,3.50,3.89,4.36
21135020,CO,Jabalcon,Saldana,Tolima,425,-75.02,3.86,6.74,5.92,5.07,4.86,5.01,5.28,5.83,5.94,5.71,5.83,5.78,6.33,5.69
22065040,CO,San Antonio Quinta,San Antonio,Tolima,1500,-75.49,3.91,5.54,4.99,4.39,4.19,4.83,4.86,5.06,5.18,5.04,4.86,4.47,5.38,4.90
23025040,CO,Albania,San Sebastian de Mariquita,Tolima,500,-74.92,5.30,5.72,5.37,4.53,4.91,5.09,5.80,6.32,6.44,5.83,5.47,5.03,5.14,5.47
21255120,CO,Villahermosa,Villahermosa,Tolima,2029,-75.12,5.03,4.28,3.85,3.66,3.57,4.35,5.49,6.05,6.04,5.07,4.13,3.53,4.13,4.51
54035020,CO,Argelia El Recreo,Argelia,Valle del Cauca,1600,-76.12,4.73,4.04,3.92,3.68,3.72,3.71,4.22,5.22,5.18,4.23,3.39,3.52,3.56,4.03
